	GT1	GT10	GT11	GT12	GT13	GT14	GT15	GT16	GT17	GT18	GT2	GT3	GT4	GT5	GT6	GT7	GT8	GT9	HHM1	HHM10	HHM11	HHM12	HHM13	HHM14	HHM15	HHM16	HHM17	HHM18	HHM2	HHM3	HHM4	HHM5	HHM6	HHM7	HHM8	HHM9
ASV_122	235	18	0	121	11	76	0	25	0	0	0	0	0	34	0	0	14	52	0	14	0	0	0	145	0	177	35	152	0	0	0	70	0	0	0	33
ASV_146	11	58	0	70	171	208	0	45	0	0	0	0	0	146	0	0	115	85	0	31	0	0	0	11	0	107	55	57	0	0	0	31	0	0	0	10
ASV_115	0	418	0	63	153	174	0	2	0	0	0	0	0	23	0	0	143	14	0	45	0	0	0	0	0	84	76	0	0	0	0	1	0	0	0	2
ASV_119	124	6	0	85	74	80	0	58	0	0	0	0	0	33	0	0	26	247	0	15	0	0	0	99	0	43	37	146	0	0	0	65	0	0	0	45
ASV_703	27	50	0	103	58	74	0	115	0	0	0	0	0	191	0	0	64	168	0	56	0	0	0	22	0	73	46	32	0	0	0	22	0	0	0	76
ASV_125	33	16	0	143	143	136	0	27	0	0	0	0	0	60	0	0	39	195	0	70	0	0	0	25	0	103	116	19	0	0	0	21	0	0	0	16
ASV_111	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1105	0	0	0	45	0	0	0	0
ASV_139	172	47	0	84	15	37	0	95	0	0	0	0	0	103	0	0	20	35	0	12	0	0	0	155	0	72	27	89	0	0	0	24	0	0	0	134
ASV_120	9	31	0	148	105	101	0	44	0	0	0	0	0	82	0	0	39	204	0	35	0	0	0	9	0	120	40	64	0	0	0	75	0	0	0	5
ASV_154	130	32	0	64	14	12	0	185	0	0	0	0	0	144	0	0	22	34	0	11	0	0	0	128	0	122	26	64	0	0	0	9	0	0	0	104
ASV_138	4	53	0	166	179	73	0	146	0	0	0	0	0	78	0	0	90	45	0	103	0	0	0	4	0	50	54	25	0	0	0	4	0	0	0	10
ASV_126	1	431	0	73	43	51	0	14	0	0	0	0	0	30	0	0	143	13	0	46	0	0	0	1	0	68	64	16	0	0	0	8	0	0	0	79
ASV_217	62	39	0	78	76	98	0	61	0	0	0	0	0	77	0	0	75	179	0	52	0	0	0	46	0	121	40	36	0	0	0	14	0	0	0	24
ASV_129	22	15	0	83	143	87	0	92	0	0	0	0	0	110	0	0	50	177	0	80	0	0	0	9	0	100	79	9	0	0	0	4	0	0	0	14
ASV_165	115	48	0	88	48	50	0	74	0	0	0	0	0	48	0	0	58	124	0	35	0	0	0	90	0	110	58	75	0	0	0	16	0	0	0	33
ASV_147	104	36	0	53	50	40	0	190	0	0	0	0	0	78	0	0	28	102	0	21	0	0	0	72	0	86	34	61	0	0	0	8	0	0	0	84
ASV_152	1	2	0	19	573	359	0	1	0	0	0	0	0	4	0	0	11	2	0	2	0	0	0	0	0	45	12	13	0	0	0	3	0	0	0	0
ASV_150	99	67	0	47	3	17	0	202	0	0	0	0	0	36	0	0	38	9	0	8	0	0	0	82	0	78	25	60	0	0	0	2	0	0	0	265
ASV_144	4	12	0	90	367	57	0	14	0	0	0	0	0	78	0	0	60	95	0	32	0	0	0	10	0	122	35	28	0	0	0	30	0	0	0	1
ASV_140	238	30	0	118	54	53	0	16	0	0	0	0	0	48	0	0	47	90	0	17	0	0	0	93	0	39	57	57	0	0	0	51	0	0	0	21
ASV_158	8	17	0	129	125	63	0	30	0	0	0	0	0	147	0	0	51	176	0	31	0	0	0	7	0	63	127	32	0	0	0	17	0	0	0	4
ASV_149	6	14	0	139	58	105	0	18	0	0	0	0	0	144	0	0	65	174	0	57	0	0	0	4	0	87	93	30	0	0	0	19	0	0	0	7
ASV_182	2	22	0	87	228	37	0	9	0	0	0	0	0	38	0	0	56	106	0	64	0	0	0	4	0	58	227	50	0	0	0	16	0	0	0	13
ASV_1046	76	43	0	132	47	54	0	43	0	0	0	0	0	101	0	0	52	47	0	52	0	0	0	66	0	107	91	48	0	0	0	14	0	0	0	40
ASV_153	12	18	0	102	189	93	0	23	0	0	0	0	0	104	0	0	65	131	0	50	0	0	0	4	0	108	90	8	0	0	0	10	0	0	0	4
ASV_179	10	47	0	98	54	64	0	76	0	0	0	0	0	146	0	0	75	197	0	49	0	0	0	14	0	80	26	21	0	0	0	18	0	0	0	29
ASV_10210	26	30	0	62	125	92	0	50	0	0	0	0	0	41	0	0	45	208	0	26	0	0	0	9	0	30	135	30	0	0	0	27	0	0	0	61
ASV_188	13	1	0	117	25	16	0	8	0	0	0	0	0	0	0	0	0	28	0	2	0	0	0	1	0	12	86	663	0	0	0	25	0	0	0	0
ASV_2378	84	40	0	246	25	52	0	37	0	0	0	0	0	177	0	0	45	24	0	59	0	0	0	40	0	63	37	20	0	0	0	6	0	0	0	32
ASV_175	7	27	0	131	90	43	0	28	0	0	0	0	0	63	0	0	41	297	0	64	0	0	0	3	0	51	93	21	0	0	0	3	0	0	0	13
ASV_141	302	9	0	53	2	15	0	26	0	0	0	0	0	23	0	0	14	5	0	8	0	0	0	143	0	47	19	230	0	0	0	3	0	0	0	71
ASV_170	38	20	0	89	48	49	0	181	0	0	0	0	0	76	0	0	33	161	0	24	0	0	0	39	0	57	62	27	0	0	0	6	0	0	0	47
ASV_199	3	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	891	0	0	0	2
ASV_194	15	37	0	115	155	66	0	24	0	0	0	0	0	76	0	0	82	127	0	57	0	0	0	12	0	35	123	9	0	0	0	11	0	0	0	0
ASV_151	110	7	0	108	37	171	0	9	0	0	0	0	0	109	0	0	44	61	0	13	0	0	0	60	0	63	49	51	0	0	0	42	0	0	0	9
ASV_176	16	19	0	92	128	91	0	24	0	0	0	0	0	112	0	0	85	62	0	59	0	0	0	12	0	107	97	22	0	0	0	5	0	0	0	5
ASV_238	92	4	0	47	3	38	0	18	0	0	0	0	0	54	0	0	41	53	0	28	0	0	0	104	0	61	45	128	0	0	0	185	0	0	0	34
ASV_218	68	8	0	120	2	24	0	218	0	0	0	0	0	9	0	0	13	186	0	1	0	0	0	27	0	25	6	88	0	0	0	24	0	0	0	113
